ID_CTE,CLASE,TIENE_ALT,TIENE_APOLO,TIENE_TDC,TIENE_SEGUROS,TIENE_BXI,TIENE_HIJOS,TIENE_AUTOS,TIENE_BIENES,TIENE_ESTUDIOS,TIENE_TELEFONO,TIENE_MAIL,FILENET,TDC_COMPRA,TXN_SUC,TXNS,ACTIVO,NH_N2,NH,TOTAL_ALT,TOTAL_APOLO,TOTAL_TDC,TOTAL_SEGUROS,SDO_CAPTACION,SDO_CORTE,MONTO_NOMINA,PORC_GASTADO,ANIO_ALTA_CTE,GENERACION_CTE,ESTADOCLAV,ESTADODES,FUENTEINGDES,INGRESOSMENDES,SEGMENTOMKTDES,SEXO,ESTADOCIV,REGIMENMAT,FECHA_INFORMACION,FAMILIA,TOTAL_PRODUCTOS,LEYENDA,BANCA,BANCO,NUMEROCIF,VISTA,BXI,EMAIL,HIJOSNUM,AUTOSNUM,BIENESNUM,TRATAMIENTO,NIVELESTDES,ESTATUSDES,TIPOTEL1,CODIGOPOS,ANIO_MES_ALTA_CTE,ANIO_NAC_CTE,ANIO_MES_NAC_CTE,CLUSTER,TOTAL,Municipio
1.06E+11,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,4,4,0,1.00E+21,2015,Generacion Y,15,MEX,Sueldo,MENOS DE $2000,PERSONAL MASIVO,M,S,M,10/31/2019,1,1,CON GASTO,Comercial,BANORTE,44841087,1,0,0,0,0,0,ND,Otros,Prospecto,D,56334,2015-1,95,9502,9,1,Chimalhuacan
1.07E+11,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,338,0,2550,100,2018,Generacion X,3,BC,Sueldo,MENOS DE $2000,PERSONAL MASIVO,F,U,M,10/31/2019,1,1,CON GASTO,Comercial,BANORTE,53461042,1,0,0,0,0,0,ND,Secundaria,Prospecto,C,21000,2018-0,78,7801,9,1,Mexicali
1.08E+11,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1011,854,0,1.00E+21,2019,Generacion Y,6,COAH,Sueldo,MENOS DE $2000,PERSONAL MASIVO,M,C,M,10/31/2019,2,1,CON GASTO,Comercial,BANORTE,57896389,1,0,0,0,0,0,ND,Otros,Prospecto,C,25113,2019-0,92,9207,9,1,Saltillo
1.07E+11,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,4,4,0,1.00E+21,2017,Generacion Y,28,TAMPS,Sueldo,MENOS DE $2000,PERSONAL MASIVO,M,C,M,10/31/2019,2,1,CON GASTO,Comercial,BANORTE,51704994,1,0,29,0,0,0,ND,Otros,Prospecto,C,88275,2017-0,91,9102,9,1,Nuevo Laredo
1.08E+11,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,2800,2800,0,1.00E+21,2019,Generacion Y,6,COAH,No Identificado,No Identificado,PERSONAL MASIVO,F,S,D,10/31/2019,1,1,CON GASTO,Comercial,BANORTE,58643150,1,0,0,0,0,0,ND,Otros,Prospecto,D,27000,2019-0,96,9607,9,1,Torreon
1.08E+11,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1.00E+21,2019,Generacion Y,15,MEX,Sueldo,MENOS DE $2000,PERSONAL MASIVO,M,S,D,10/31/2019,1,1,CON GASTO,Comercial,BANORTE,57819849,1,0,0,0,0,0,ND,Otros,Prospecto,C,56343,2019-0,93,9309,9,1,Chimalhuacan
1.09E+11,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1746,1746,0,1.00E+21,2019,Generacion Y,14,JAL,No Identificado,No Identificado,PERSONAL MASIVO,F,S,D,10/31/2019,1,1,CON GASTO,Comercial,BANORTE,59662945,1,0,20,0,0,0,LIC,Preparatoria,Activo,D,44330,2019-0,98,9806,9,1,Guadalajara
1.09E+11,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1.00E+21,2019,Generacion Y,9,CHIH,Sueldo,MENOS DE $2000,PERSONAL MASIVO,M,C,S,10/31/2019,2,1,CON GASTO,Comercial,BANORTE,59567512,1,0,0,0,0,0,LIC,Otros,Prospecto,C,31350,2019-0,85,8501,9,1,Chihuahua
1.09E+11,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1.00E+21,2019,Generacion X,15,MEX,Sueldo,$  7501 A $10000,PERSONAL MASIVO,M,C,M,10/31/2019,2,1,CON GASTO,Comercial,BANORTE,60156587,1,1,23,0,0,0,ND,Carrera Tecnica,Prospecto,C,51364,2019-0,69,6907,2,1,Zinacantepec
1.08E+11,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,3790,6849,17951,162.07,2018,Generacion Y,28,TAMPS,Sueldo,MENOS DE $2000,PERSONAL BASICO TRANSICION,M,C,M,10/31/2019,2,2,CON GASTO,Comercial,BANORTE,55289182,1,0,25,0,0,0,ND,Otros,Prospecto,C,89368,2018-0,85,8508,18,1,Tampico
1.05E+11,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,2,0,0,0,89,93,0,1.00E+21,2014,Generacion Y,11,GTO,Sueldo,$  7501 A $10000,PERSONAL MASIVO,F,C,S,10/31/2019,2,1,CON GASTO,Comercial,BANORTE,40748742,2,0,0,0,1,1,ND,Licenciatura (Profesional),Prospecto,C,37260,2014-1,88,8804,1,1,Leon
1.07E+11,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1.00E+21,2017,Generacion Y,6,COAH,Sueldo,$ 10001 A $ 15000,PERSONAL MASIVO,M,C,M,10/31/2019,2,1,CON GASTO,Comercial,BANORTE,53042212,1,0,0,0,0,0,ND,Otros,Activo,C,25084,2017-1,96,9610,9,1,Saltillo
1.09E+11,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,53,321,0,1.00E+21,2019,Generacion Y,14,JAL,Sueldo,MENOS DE $2000,PERSONAL MASIVO,F,S,D,10/31/2019,1,1,CON GASTO,Comercial,BANORTE,60530850,1,0,0,0,0,0,ND,Preparatoria,Prospecto,C,45138,2019-1,91,9106,9,1,Zapopan
1.09E+11,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,87,300,0,1.00E+21,2019,Generacion Y,14,JAL,Sueldo,MENOS DE $2000,PERSONAL MASIVO,F,C,M,10/31/2019,2,1,CON GASTO,Comercial,BANORTE,60489035,1,0,0,0,0,0,ND,Otros,Prospecto,C,45640,2019-1,87,8707,9,1,Tlajomulco de Zuniga
1.07E+11,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1.00E+21,2017,Generacion X,8,CHIS,Sueldo,$ 10001 A $ 15000,PERSONAL SIN CAPTACION,M,C,S,10/31/2019,2,1,CON GASTO,Comercial,BANORTE,52121496,0,0,23,0,0,0,ND,Carrera Tecnica,Activo,C,30430,2017-0,79,7911,15,1,Jiquipilas
1.09E+11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,583,54,16523,30571.76,2019,Generacion Y,19,NL,Sueldo,MENOS DE $2000,PERSONAL MASIVO,M,S,D,10/31/2020,1,1,CON GASTO,Comercial,BANORTE,60219590,1,0,0,0,0,0,ND,Secundaria,Prospecto,0,67303,2019-0,99,9909,13,1,Santiago
1.08E+11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,16,16,0,1.00E+21,2019,Sin Generacion,26,SON,No Identificado,No Identificado,PERSONAL MASIVO,M,S,D,10/31/2020,1,1,CON GASTO,Comercial,BANORTE,59016426,1,0,0,0,0,0,ND,Otros,Activo,0,85532,2019-0,0,3,3,1,SIN MUNICIPIO
1.09E+11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1.00E+21,2020,Sin Generacion,14,JAL,No Identificado,No Identificado,PERSONAL MASIVO,F,S,D,10/31/2020,1,1,CON GASTO,Comercial,BANORTE,62093983,1,0,0,0,0,0,ND,Otros,Activo,0,49600,2020-0,0,4,3,1,Zapotiltic
1.08E+11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,19,1,12986,1754725.67,2018,Sin Generacion,28,TAMPS,Sueldo,MENOS DE $2000,PERSONAL MASIVO,M,U,D,10/31/2020,1,1,CON GASTO,Comercial,BANORTE,56643936,1,0,0,0,0,0,ND,Secundaria,Prospecto,0,88747,2018-1,0,11,13,1,Reynosa
1.09E+11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,361,416,3785,809.85,2020,Generacion Z,26,SON,No Identificado,No Identificado,PERSONAL MASIVO,M,S,D,10/31/2020,1,1,CON GASTO,Comercial,BANORTE,64019863,1,0,0,0,0,0,ND,Otros,Activo,0,85000,2020-1,1,103,3,1,Cajeme
1.02E+11,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,1,3861,3796,25008,558.85,2009,Generacion X,28,TAMPS,Sueldo,$ 10001 A $ 15000,PERSONAL BASICO,M,C,M,10/31/2020,2,3,CON GASTO,Comercial,BANORTE,22265742,1,0,30,0,0,1,ND,Licenciatura (Profesional),Prospecto,0,89603,2009-0,79,7911,6,1,Altamira
1.08E+11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,20,7,11833,167506.23,2019,Generacion Y,3,BC,No Identificado,No Identificado,PERSONAL MASIVO,M,S,D,10/31/2020,1,1,CON GASTO,Comercial,BANORTE,58904679,1,0,0,0,0,0,ND,Secundaria,Activo,0,22500,2019-0,87,8702,3,1,Tijuana
1.08E+11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1.00E+21,2019,Generacion Y,12,GRO,No Identificado,No Identificado,PERSONAL MASIVO,M,S,D,10/31/2020,1,1,CON GASTO,Comercial,BANORTE,58823349,1,0,0,0,0,0,ND,Otros,Activo,0,39799,2019-0,99,9912,3,1,Acapulco de Juarez
1.09E+11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,205,51,5800,11362.45,2020,Generacion X,18,NAY,No Identificado,No Identificado,PERSONAL MASIVO,M,S,D,10/31/2020,1,1,CON GASTO,Comercial,BANORTE,63554809,1,0,0,0,0,0,ND,Otros,Activo,0,63737,2020-0,73,7303,3,1,Bahia de Banderas
1.09E+11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,20,20,0,1.00E+21,2020,Generacion Y,22,QRO,Sueldo,MENOS DE $2000,PERSONAL MASIVO,F,C,M,10/31/2020,2,1,CON GASTO,Comercial,BANORTE,61592293,1,0,0,0,0,0,ND,Preparatoria,Prospecto,0,76220,2020-0,84,8403,13,1,Queretaro
1.06E+11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,237,9,8747,96122.33,2015,Generacion Y,22,QRO,Sueldo,$  7501 A $10000,PERSONAL MASIVO,F,S,D,10/31/2020,1,1,CON GASTO,Comercial,BANORTE,43797729,1,0,0,0,0,0,ND,Secundaria,Activo,0,76020,2015-0,97,9701,13,1,Queretaro
1.08E+11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,2,2,0,1.00E+21,2019,Generacion Y,25,SIN,No Identificado,No Identificado,PERSONAL MASIVO,M,S,D,10/31/2020,1,1,CON GASTO,Comercial,BANORTE,58481629,1,0,0,0,0,0,ND,Secundaria,Activo,0,80155,2019-0,87,8705,3,1,Culiacan
1.09E+11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,3349,2053,10304,401.97,2019,Generacion Y,7,COL,No Identificado,No Identificado,PERSONAL MASIVO,F,S,D,10/31/2020,1,1,CON GASTO,Comercial,BANORTE,60204414,1,0,0,0,0,0,ND,Otros,Activo,0,28050,2019-0,92,9205,3,1,Colima
1.09E+11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,374,3,3681,143117.12,2020,Generacion Y,25,SIN,Sueldo,MENOS DE $2000,PERSONAL MASIVO,M,S,D,10/31/2020,1,1,CON GASTO,Comercial,BANORTE,62591782,1,0,0,0,0,0,ND,Otros,Prospecto,0,82400,2020-0,93,9301,13,1,Escuinapa
1.09E+11,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,139,43,5343,12282.73,2020,Sin Generacion,32,ZAC,No Identificado,No Identificado,PERSONAL MASIVO,F,S,D,10/31/2020,1,1,CON GASTO,Comercial,BANORTE,63931835,1,0,22,0,0,0,ND,Otros,Activo,0,99010,2020-0,0,2,3,1,Fresnillo
1.09E+11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,11,11,0,1.00E+21,2019,Generacion Y,26,SON,No Identificado,No Identificado,PERSONAL MASIVO,M,S,D,10/31/2020,1,1,CON GASTO,Comercial,BANORTE,59697321,1,0,0,0,0,0,ND,Otros,Activo,0,83344,2019-0,99,9910,3,1,Hermosillo
1.09E+11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1.00E+21,2020,Generacion Y,3,BC,No Identificado,No Identificado,PERSONAL MASIVO,M,S,D,10/31/2020,1,1,CON GASTO,Comercial,BANORTE,63932328,1,0,0,0,0,0,ND,Otros,Activo,0,22224,2020-0,97,9703,3,1,Tijuana
1.09E+11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,292,9,2297,24336.17,2020,Generacion Y,3,BC,No Identificado,No Identificado,PERSONAL MASIVO,F,S,D,10/31/2020,1,1,CON GASTO,Comercial,BANORTE,63834711,1,0,0,0,0,0,ND,Primaria,Activo,0,22254,2020-0,90,9008,3,1,Tijuana
1.09E+11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1.00E+21,2020,Generacion X,14,JAL,No Identificado,No Identificado,PERSONAL MASIVO,M,S,D,10/31/2020,1,1,CON GASTO,Comercial,BANORTE,61047770,1,0,0,0,0,0,ND,Otros,Activo,0,49600,2020-0,77,7703,3,1,Zapotiltic
1.09E+11,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,118,62,2952,4661.26,2020,Generacion X,16,MICH,Sueldo,No Identificado,PERSONAL MASIVO,F,S,D,10/31/2020,1,1,CON GASTO,Comercial,BANORTE,63137731,1,0,23,0,0,0,ND,Otros,Activo,0,58000,2020-0,70,7012,13,1,Morelia
1.09E+11,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,81,45,3923,8700.91,2020,Generacion Y,28,TAMPS,No Identificado,No Identificado,PERSONAL MASIVO,M,S,D,10/31/2020,1,1,CON GASTO,Comercial,BANORTE,64008023,1,0,21,0,0,0,ND,Otros,Activo,0,89000,2020-1,99,9904,3,1,Tampico
1.09E+11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1114,3514,12051,242.95,2019,Sin Generacion,26,SON,No Identificado,No Identificado,PERSONAL MASIVO,F,S,D,10/31/2020,1,1,CON GASTO,Comercial,BANORTE,59940483,1,0,0,0,0,0,ND,Otros,Activo,0,85532,2019-0,0,10,3,1,SIN MUNICIPIO
1.05E+11,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.00E+21,2014,Generacion Y,14,JAL,Sueldo,$  7501 A $10000,PERSONAL SIN CAPTACION,M,S,D,10/31/2020,1,1,CON GASTO,Comercial,BANORTE,40537298,0,0,22,0,0,0,ND,Otros,Prospecto,0,46734,2014-0,96,9602,15,1,Ahualulco de Mercado
1.09E+11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,164,49,5600,11231.7,2020,Generacion Y,11,GTO,Sueldo,MENOS DE $2000,PERSONAL MASIVO,M,S,D,10/31/2020,1,1,CON GASTO,Comercial,BANORTE,63152862,1,0,0,0,0,0,ND,Secundaria,Prospecto,0,37000,2020-0,93,9306,13,1,Leon
1.03E+11,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1.00E+21,2011,Generacion Y,1,CDMX,Sueldo,No Identificado,PERSONAL BASICO TRANSICION,M,S,D,10/31/2020,1,2,CON GASTO,Comercial,BANORTE,27823819,1,0,0,0,0,0,ND,Otros,Activo,0,1210,2011-0,86,8612,14,1,SIN MUNICIPIO
1.09E+11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,110,3,1404,46402.98,2020,Generacion Y,3,BC,Sueldo,MENOS DE $2000,PERSONAL MASIVO,M,S,D,10/31/2020,1,1,CON GASTO,Comercial,BANORTE,63286585,1,0,0,0,0,0,ND,Otros,Prospecto,0,21320,2020-0,88,8811,13,1,Mexicali
1.09E+11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1475,1475,0,1.00E+21,2020,Generacion Y,11,GTO,No Identificado,No Identificado,PERSONAL MASIVO,M,S,D,10/31/2020,1,1,CON GASTO,Comercial,BANORTE,63584793,1,0,0,0,0,0,ND,Otros,Activo,0,38114,2020-0,99,9911,3,1,Celaya
1.09E+11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,301,29,5716,19542.61,2020,Generacion Z,16,MICH,No Identificado,No Identificado,PERSONAL MASIVO,M,S,D,10/31/2020,1,1,CON GASTO,Comercial,BANORTE,61576916,1,0,0,0,0,0,ND,Otros,Activo,0,59470,2020-0,2,203,3,1,Penjamillo
1.08E+11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1180,1180,0,1.00E+21,2018,Generacion Y,25,SIN,No Identificado,No Identificado,PERSONAL MASIVO,M,S,D,10/31/2020,1,1,CON GASTO,Comercial,BANORTE,56320633,1,0,0,0,0,0,ND,Secundaria,Activo,0,80155,2018-1,89,8909,3,1,Culiacan
1.09E+11,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,512,2886,5877,103.65,2020,Generacion Y,27,TAB,No Identificado,No Identificado,PERSONAL MASIVO,M,S,D,10/31/2020,1,1,CON GASTO,Comercial,BANORTE,61387251,1,0,29,0,0,0,ND,Otros,Activo,0,86600,2020-0,91,9101,3,1,Paraiso
1.07E+11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1.00E+21,2017,Generacion Y,6,COAH,Sueldo,MENOS DE $2000,PERSONAL MASIVO,M,S,D,10/31/2020,1,1,CON GASTO,Comercial,BANORTE,52718942,1,0,0,0,0,0,ND,Preparatoria,Prospecto,0,25915,2017-1,99,9911,13,1,Ramos Arizpe
1.04E+11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,2,0,0,0,353,597,1265,111.99,2013,Generacion Y,3,BC,Sueldo,$  4001 A $ 7500,PERSONAL MASIVO,F,S,D,10/31/2020,1,1,CON GASTO,Comercial,BANORTE,37275731,2,0,0,0,0,0,ND,Secundaria,Activo,0,22630,2013-0,88,8804,13,1,Tijuana
1.07E+11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,308,7,9334,138178.22,2017,Generacion X,3,BC,Sueldo,$  7501 A $10000,PERSONAL MASIVO,M,C,M,10/31/2020,2,1,CON GASTO,Comercial,BANORTE,51103428,1,0,0,0,0,0,ND,Otros,Activo,0,22190,2017-0,72,7210,13,1,Tijuana
1.09E+11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,791,396,8849,2131.93,2020,Generacion Y,3,BC,No Identificado,No Identificado,PERSONAL MASIVO,M,S,D,10/31/2020,1,1,CON GASTO,Comercial,BANORTE,63606329,1,0,0,0,0,0,ND,Secundaria,Activo,0,22244,2020-0,93,9307,3,1,Tijuana
1.09E+11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,3814,5963,17663,196.22,2020,Generacion Y,8,CHIS,No Identificado,No Identificado,PERSONAL MASIVO,M,S,D,10/31/2020,1,1,CON GASTO,Comercial,BANORTE,62011619,1,0,0,0,0,0,ND,Otros,Activo,0,29820,2020-0,96,9611,3,1,Simojovel
1.02E+11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,431,9,6930,73623.4,2010,Generacion X,28,TAMPS,Sueldo,$  3001 A $ 4000,PERSONAL MASIVO,F,C,M,10/31/2020,2,1,CON GASTO,Comercial,BANORTE,25093380,1,0,0,0,0,0,ND,Secundaria,Activo,0,87313,2010-0,75,7508,7,1,Matamoros
1.09E+11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,216,4,6560,163496,2020,Generacion Y,2,AGS,No Identificado,No Identificado,PERSONAL MASIVO,F,S,D,10/31/2020,1,1,CON GASTO,Comercial,BANORTE,60965163,1,0,0,0,0,0,ND,Otros,Activo,0,20000,2020-0,86,8612,3,1,Aguascalientes
1.09E+11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1.00E+21,2019,Generacion Y,31,YUC,Sueldo,MENOS DE $2000,PERSONAL MASIVO,F,S,D,10/31/2020,1,1,CON GASTO,Comercial,BANORTE,60356083,1,0,0,0,0,0,ND,Otros,Prospecto,0,97590,2019-1,99,9907,13,1,Huhi
1.09E+11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,546,60,9404,15660.01,2020,Generacion X,3,BC,No Identificado,No Identificado,PERSONAL MASIVO,F,S,D,10/31/2020,1,1,CON GASTO,Comercial,BANORTE,61209886,1,0,0,0,0,0,ND,Secundaria,Activo,0,22123,2020-0,74,7405,3,1,Tijuana
